"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Egretta thula",36,-0.0575301204819254,-0.202804998540274,0.0877447575764235,118.290662650598,-0.0183002159946539,"Stable"
"Egretta thula",37,-0.077717609306058,-0.805401086931877,0.649965868319761,175.759426393905,-0.0395620659422409,"Stable"
"Egretta tricolor",21,0.0816326530612282,-1.08961524200143,1.25288054812388,-159.627551020415,-0.161038561315569,"Stable"
"Egretta tricolor",25,0.0221617418351478,-0.0515551007226774,0.0958785843929729,-43.0905909797823,-0.0491497757155896,"Stable"
"Egretta tricolor",36,0.0510652138559112,-0.00391726468949473,0.106047692401317,-100.841925516343,0.284972427150019,"Stable"
"Egretta tricolor",37,-0.146159245888489,-0.493539854376222,0.201221362599244,303.800792218214,-0.00993447303218797,"Stable"
"Elanoides forficatus",21,NA,NA,NA,NA,NA,NA
"Elanoides forficatus",25,-0.107359221372526,-0.22444776986656,0.0097293271215089,217.580593902068,0.18704644049247,"Stable"
"Elanoides forficatus",37,-0.154340836012862,-0.533977323103063,0.22529565107734,312.944265809217,0.051971200894699,"Stable"
"Elanus leucurus",19,NA,NA,NA,NA,NA,NA
"Elanus leucurus",20,-0.0564971751412429,-0.48033510594638,0.367340755663894,114.988700564972,-0.288135593220339,"Stable"
"Elanus leucurus",21,-0.0235030777839953,-0.0875064833151327,0.040500327747142,48.4482372691658,-0.0324566312255188,"Stable"
"Elanus leucurus",25,-0.0786163522012584,-0.110347846183435,-0.046884858219082,160.097484276731,0.974056603773585,"Decreasing"
"Elanus leucurus",35,0,0,0,1,NA,"Stable"
"Elanus leucurus",36,-0.0230142566191446,-0.0947508561147134,0.0487223428764242,47.6932790224032,-0.0363799056878258,"Stable"
"Elanus leucurus",37,0.0060255292158877,-0.0688316153461241,0.0808826737778995,-10.2946166653439,-0.0510614084676584,"Stable"
"Empidonax difficilis occidentalis",18,-0.0589924301748876,-0.17458205433091,0.0565971939811352,121.316888540848,0.00700293373874072,"Stable"
"Empidonax difficilis occidentalis",35,-0.777756868648861,-1.24919810275721,-0.306315634540508,1586.55520010038,0.31762258122343,"Decreasing"
"Empidonax hammondii",18,-0.137992831541221,-0.491950424855758,0.215964761773316,279.31720430108,0.118813391291093,"Stable"
"Empidonax hammondii",35,NA,NA,NA,NA,NA,NA
"Empidonax minimus",18,-0.109890109890103,-1.49646754587955,1.27668732609934,222.472527472513,-0.417582417582425,"Stable"
"Empidonax minimus",19,NA,NA,NA,NA,NA,NA
"Empidonax minimus",25,NA,NA,NA,NA,NA,NA
"Empidonax oberholseri",18,-0.0328109696376108,-0.0824136891306275,0.0167917498554059,67.0132223310492,0.239666993144016,"Stable"
"Empidonax oberholseri",35,-0.0726190476190502,-0.375693722188174,0.230455626950074,148.270833333338,-0.10344886170574,"Stable"
"Empidonax traillii",18,-0.0758620689655172,-0.178653974279324,0.0269298363482895,154.206896551724,0.751724137931034,"Stable"
"Empidonax traillii",19,-0.0161673799334285,-0.0562031247465909,0.0238683648797339,34.1673799334286,-0.0127501971451611,"Stable"
"Empidonax traillii",25,NA,NA,NA,NA,NA,NA
"Empidonax virescens",20,-0.0544343101106154,-0.106509850416427,-0.00235876980480353,110.803318455269,0.263493013215351,"Decreasing"
"Empidonax virescens",21,-0.0154410556863605,-0.0995045546365796,0.0686224432638586,33.1054043694904,-0.0369686642029845,"Stable"
"Empidonax virescens",25,-0.0219614921780987,-0.043135809186914,-0.00078717516928329,47.3649217809867,0.12533218010429,"Stable"
"Empidonax virescens",37,-0.0142466377934799,-0.0580454753226518,0.029552199735692,29.9907681787081,-0.042341007522229,"Stable"
"Empidonax wrightii",35,-0.00569727266044557,-0.0864341164736664,0.0750395711527753,14.8331618025496,-0.0465458126299785,"Stable"
"Eremophila alpestris",18,-0.0421179302045718,-0.638295792794718,0.554059932385574,193.679302045726,-0.0407447492210702,"Stable"
"Eremophila alpestris",19,0.130014039310066,-0.274150502170906,0.534178580791039,-233.932059767345,-0.0228798089735749,"Stable"
"Eremophila alpestris",21,0.00278164116829498,-0.0714158613344015,0.0769791436709915,-2.83109874827292,-0.043205461801082,"Stable"
"Eremophila alpestris",25,-0.381818181818119,-1.10974273384022,0.346106370203984,770.76363636351,0.0391956373551193,"Stable"
"Eremophila alpestris",35,-0.194945848375451,-0.368291607895601,-0.0216000888552998,403.958483754511,0.149294921414254,"Decreasing"
"Eremophila alpestris",36,-0.342244031053175,-1.72900700256517,1.04451894045882,716.085030027838,-0.0362683440047831,"Stable"
"Eremophila alpestris",37,-0.24423247559894,-0.413061085471514,-0.0754038657263655,496.441659272414,0.248956609430919,"Decreasing"
"Eudocimus albus",21,-0.672298717679223,-3.55597189510742,2.21137445974897,1385.17082720204,-0.0330311714721123,"Stable"
"Eudocimus albus",25,0.0416165262735645,-0.637243922279034,0.720476974826163,-71.2485960689903,-0.0409723217224878,"Stable"
"Eudocimus albus",36,0.0570469798657718,-0.318074486673708,0.432168446405251,-111.39932885906,-0.235509456985967,"Stable"
