"scientific_name","StateNum","slope","lower_CI","upper_CI","Adj_R2","Trend"
"Tympanuchus pallidicinctus",83,-0.246963562753036,-0.764690068553311,0.270762943047239,0.0228012310516895,"Stable"
"Tympanuchus phasianellus",83,NA,NA,NA,NA,NA
"Tyrannus couchii",83,-0.0184516646610516,-0.0898738925977547,0.0529705632756516,-0.0294716009424081,"Stable"
"Tyrannus forficatus",83,-0.331478138788609,-0.385058723239738,-0.27789755433748,0.866332693388478,"Decreasing"
"Tyrannus melancholicus",83,0.127290448343084,0.0417529707030206,0.212827925983148,0.422550850179968,"Increasing"
"Tyrannus tyrannus",83,-0.0875451263537909,-0.119556286754619,-0.055533965952963,0.552447880183917,"Decreasing"
"Tyrannus verticalis",83,0.168922984356196,-0.0564073106416842,0.394253279354077,0.0528132278627808,"Stable"
"Tyrannus vociferans",83,-0.210489370236666,-0.441069826097878,0.0200910856245469,0.0925492089915563,"Stable"
"Tyto alba",83,-0.0250430485887535,-0.0648208847791552,0.0147347876016481,0.0314422113104331,"Stable"
"Vermivora cyanoptera",83,NA,NA,NA,NA,NA
"Vireo atricapilla",83,0.168572001604493,0.0846576088769292,0.252486394332057,0.393055864471577,"Increasing"
"Vireo bellii",83,-0.0919073405535501,-0.21024272853369,0.0264280474265899,0.059071323212457,"Stable"
"Vireo flavifrons",83,0.00787204171680687,-0.0260448106045403,0.0417888940381541,-0.0318014802878461,"Stable"
"Vireo gilvus",83,0.0340057636887607,-0.0290484954279004,0.0970600228054218,0.0220344747346379,"Stable"
"Vireo griseus",83,-0.027376654632972,-0.115647574614194,0.0608942653482498,-0.0241815770288198,"Stable"
"Vireo huttoni",83,0.0798274002157498,-0.0277319781489148,0.187386778580414,0.206338578283674,"Stable"
"Vireo olivaceus",83,-0.296831127156038,-0.385062083176348,-0.208600171135728,0.65379633388889,"Decreasing"
"Vireo plumbeus",83,NA,NA,NA,NA,NA
"Vireo vicinior",83,0.0036678299266433,-0.0673118338919534,0.07464749374524,-0.0519839079676936,"Stable"
"Xanthocephalus xanthocephalus",83,0.110420979986199,-0.0931967952589894,0.314038755231387,0.0185672261894818,"Stable"
"Zenaida asiatica",83,-0.0259225832330535,-0.147999030587902,0.0961538641217947,-0.0333962927456748,"Stable"
"Zenaida macroura",83,-0.330625752105896,-0.637526898455967,-0.0237246057558247,0.136254489301474,"Decreasing"
"Zonotrichia leucophrys",83,NA,NA,NA,NA,NA
